 ______________________________________________________ 
| Interaction (right side)           | Dim. | Robotran |
|____________________________________|______|__________|
| Cabin: vert. displacement          |  mm  |   -7.083 |
|____________________________________|______|__________|
| Cabin: pitch angle                 |   °  |   0.1465 |
|____________________________________|______|__________|
| Front tyre vertical force          |   N  |  3831.31 |
|____________________________________|______|__________|
| Rear tyre vertical force           |   N  |  3591.91 |
|____________________________________|______|__________|
| Front shock absorber               |   N  |  -335.29 |
|____________________________________|______|__________|
| Rear shock absorber                |   N  |  -241.64 |
|____________________________________|______|__________|
| Front leaf spring (force element)  |   N  | -3068.62 |
|____________________________________|______|__________|
| Front rod leaf spring              |   N  | -1408.51 |
|____________________________________|______|__________|
| Rear leaf spring (force element)   |   N  | -2885.51 |
|____________________________________|______|__________|
| Rear rod leaf spring               |   N  | -1335.52 |
|____________________________________|______|__________|
